,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat,SMA,Signal
2369,2024-04-30,40.71296409039566,182.9935127374817,198.6174874489707,40.71296409039566,40.71296409039566,3.68601383097121,3.68601383097121,3.68601383097121,3.916646267927807,3.916646267927807,3.916646267927807,-0.2306324369565972,-0.2306324369565972,-0.2306324369565972,0.0,0.0,0.0,190.78151282742826,189.234337769854,1
2370,2024-05-01,40.73347825581034,183.40509120724997,198.58527916019216,40.73347825581034,40.73347825581034,3.690081936724991,3.690081936724991,3.690081936724991,3.9172374749587613,3.9172374749587613,3.9172374749587613,-0.22715553823377033,-0.22715553823377033,-0.22715553823377033,0.0,0.0,0.0,191.04335058755626,189.52697950400838,1
2371,2024-05-02,40.75399242122503,183.26542611495825,199.1471228308072,40.75399242122503,40.75399242122503,3.689955801315808,3.689955801315808,3.689955801315808,3.9138599999984898,3.9138599999984898,3.9138599999984898,-0.22390419868268183,-0.22390419868268183,-0.22390419868268183,0.0,0.0,0.0,191.13442318270478,189.83102001746607,1
2372,2024-05-03,40.774506586639724,183.75726537916626,199.71874101182212,40.774506586639724,40.774506586639724,3.693287105927568,3.693287105927568,3.693287105927568,3.9142085819892767,3.9142085819892767,3.9142085819892767,-0.22092147606170853,-0.22092147606170853,-0.22092147606170853,0.0,0.0,0.0,191.3664660136349,190.1433030814255,1
2373,2024-05-06,40.836049082883775,184.38525897923657,199.94765473381395,40.836049082883775,40.836049082883775,3.704806369345563,3.704806369345563,3.704806369345563,3.918640805424851,3.918640805424851,3.918640805424851,-0.2138344360792882,-0.2138344360792882,-0.2138344360792882,0.0,0.0,0.0,192.12570382405966,190.4606399951346,1
2374,2024-05-07,40.856563248298464,184.73742376103428,200.41486375747272,40.856563248298464,40.856563248298464,3.7045352527575863,3.7045352527575863,3.7045352527575863,3.9166462679294094,3.9166462679294094,3.9166462679294094,-0.21211101517182263,-0.21211101517182263,-0.21211101517182263,0.0,0.0,0.0,192.21114210814014,190.77344460109705,1
2375,2024-05-08,40.877077413713145,184.1864941292971,200.61290141332321,40.877077413713145,40.877077413713145,3.706553713590533,3.706553713590533,3.706553713590533,3.9172374749587577,3.9172374749587577,3.9172374749587577,-0.21068376136822495,-0.21068376136822495,-0.21068376136822495,0.0,0.0,0.0,192.3901605022393,191.07921485392666,1
2376,2024-05-09,40.897591579127834,184.9878696216043,200.2112918247556,40.897591579127834,40.897591579127834,3.70433992500716,3.70433992500716,3.70433992500716,3.9138599999968795,3.9138599999968795,3.9138599999968795,-0.20952007498971967,-0.20952007498971967,-0.20952007498971967,0.0,0.0,0.0,192.3961729023277,191.37567605664526,1
2377,2024-05-10,40.918105744542515,184.74866408174825,200.1347881381198,40.918105744542515,40.918105744542515,3.705632345646609,3.705632345646609,3.705632345646609,3.9142085819895978,3.9142085819895978,3.9142085819895978,-0.20857623634298866,-0.20857623634298866,-0.20857623634298866,0.0,0.0,0.0,192.5455619141076,191.6612558118258,1
2378,2024-05-13,40.979648240786574,185.3261136368514,200.92978331542074,40.979648240786574,40.979648240786574,3.7121506001361197,3.7121506001361197,3.7121506001361197,3.918640805444369,3.918640805444369,3.918640805444369,-0.2064902053082491,-0.2064902053082491,-0.2064902053082491,0.0,0.0,0.0,193.10227405118954,191.9096767913388,1
